time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449000000	19.2789	16.344	4.52902	2.08499	0.555246	lidar	1.39069e-309	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1673	16.534	4.51136	2.11408	0.559273	radar	2.23667e-314	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0243	16.7618	4.61622	2.14597	0.564048	lidar	1.39069e-309	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8667	16.9537	4.61603	2.21103	0.647648	radar	2.23667e-314	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6707	17.2161	4.85059	2.25053	0.655999	lidar	1.39069e-309	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5741	17.4181	4.81671	2.22547	0.534858	radar	2.23667e-314	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3469	17.6267	4.96338	2.27468	0.559097	lidar	1.39069e-309	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2081	17.8218	4.95547	2.2748	0.497851	radar	2.23667e-314	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0848	18.0011	4.88366	2.28886	0.486328	lidar	1.39069e-309	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9098	18.1524	4.83372	2.33578	0.532459	radar	2.23667e-314	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7952	18.279	4.66307	2.35564	0.525159	lidar	1.39069e-309	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6684	18.4537	4.62139	2.36215	0.494671	radar	2.23667e-314	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4603	18.65	4.75487	2.39052	0.498499	lidar	1.39069e-309	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
